Sector_ID,Tree_Density_Pct,Fuel_Moisture_Content_Pct,Slope_Steepness_Deg,Temperature_C,Humidity_Pct,Wind_Speed_MPH,Active_Hotspot,Fire_Occurred
SEC-009,0.8,0.07,31,27.7,72.9,44.5,1,1
SEC-009,0.8,0.07,31,29.2,72.7,59.5,0,1
SEC-023,0.1,0.04,45,43.1,20.5,32.2,0,0
SEC-019,0.92,0.05,4,25.8,6.6,14.8,0,0
SEC-023,0.1,0.04,45,11.1,51.1,17.3,0,0
SEC-050,0.81,0.06,25,14.6,78.6,3.9,0,0
SEC-038,0.87,0.06,12,25.7,67.4,30.4,0,0
SEC-003,0.7,0.11,35,38.1,42.0,41.0,0,1
SEC-003,0.7,0.11,35,35.2,40.5,15.3,0,0
SEC-001,0.85,0.08,22,22.9,33.1,12.5,0,0
SEC-043,0.89,0.05,30,26.4,15.9,24.8,0,0
SEC-002,0.45,0.18,3,19.2,30.5,42.9,0,1
SEC-023,0.1,0.04,45,25.1,5.2,31.6,0,0
SEC-019,0.92,0.05,4,20.9,5.1,25.1,0,0
SEC-019,0.92,0.05,4,16.9,63.3,19.4,0,0
SEC-007,0.9,0.06,28,14.3,14.1,28.6,1,1
SEC-038,0.87,0.06,12,30.9,46.8,38.9,0,0
SEC-043,0.89,0.05,30,31.6,5.1,9.9,0,1
SEC-023,0.1,0.04,45,12.3,77.6,40.5,0,1
SEC-003,0.7,0.11,35,28.6,66.5,18.8,0,0
SEC-001,0.85,0.08,22,10.5,13.2,14.5,0,0
SEC-007,0.9,0.06,28,22.5,51.6,54.0,0,0
SEC-019,0.92,0.05,4,20.7,65.6,28.7,0,0
SEC-003,0.7,0.11,35,29.5,45.0,9.0,0,0
SEC-023,0.1,0.04,45,23.4,48.1,54.5,0,1
SEC-002,0.45,0.18,3,45.0,35.5,36.6,0,0
SEC-007,0.9,0.06,28,14.7,7.4,33.0,0,0
SEC-003,0.7,0.11,35,29.9,58.9,50.6,0,1
SEC-043,0.89,0.05,30,28.3,18.4,43.4,0,1
SEC-038,0.87,0.06,12,18.9,79.4,12.8,0,0
SEC-023,0.1,0.04,45,36.6,67.0,54.5,0,1
SEC-038,0.87,0.06,12,43.2,53.3,1.4,0,0
SEC-050,0.81,0.06,25,23.9,53.9,0.7,0,0
SEC-003,0.7,0.11,35,34.8,16.0,9.6,0,0
SEC-007,0.9,0.06,28,19.7,19.8,42.7,0,1
SEC-043,0.89,0.05,30,42.3,65.8,40.8,0,1
SEC-002,0.45,0.18,3,19.7,15.0,46.0,0,1
SEC-007,0.9,0.06,28,19.2,79.1,12.9,0,0
SEC-007,0.9,0.06,28,18.3,48.1,11.6,0,0
SEC-023,0.1,0.04,45,30.2,72.1,8.0,0,0
SEC-019,0.92,0.05,4,44.8,54.9,1.8,0,0
SEC-007,0.9,0.06,28,37.0,25.2,41.9,0,1
SEC-050,0.81,0.06,25,25.5,25.5,6.8,0,0
SEC-023,0.1,0.04,45,20.3,32.2,46.7,0,1
SEC-001,0.85,0.08,22,25.3,37.7,4.2,0,0
SEC-050,0.81,0.06,25,19.7,56.8,51.3,0,1
SEC-007,0.9,0.06,28,39.7,76.9,20.1,0,0
SEC-002,0.45,0.18,3,42.3,33.8,22.1,0,0
SEC-003,0.7,0.11,35,40.3,62.0,6.4,0,0
SEC-038,0.87,0.06,12,29.4,76.8,31.9,0,0
SEC-043,0.89,0.05,30,44.0,37.3,31.9,0,0
SEC-002,0.45,0.18,3,32.2,16.3,11.2,0,0
SEC-043,0.89,0.05,30,31.8,20.2,42.4,1,1
SEC-007,0.9,0.06,28,12.9,25.4,15.1,0,0
SEC-002,0.45,0.18,3,17.1,71.7,14.9,0,0
SEC-019,0.92,0.05,4,23.7,35.6,52.9,0,1
SEC-003,0.7,0.11,35,44.9,46.6,5.0,0,0
SEC-009,0.8,0.07,31,38.2,16.0,43.4,0,1
SEC-043,0.89,0.05,30,15.6,57.3,19.4,0,0
SEC-038,0.87,0.06,12,40.8,41.3,48.1,0,0
SEC-001,0.85,0.08,22,41.6,52.9,49.1,0,1
SEC-001,0.85,0.08,22,10.9,72.5,37.4,0,0
SEC-007,0.9,0.06,28,36.6,53.4,14.3,0,0
SEC-007,0.9,0.06,28,44.4,77.2,53.2,0,0
SEC-038,0.87,0.06,12,24.4,43.6,29.9,0,0
SEC-003,0.7,0.11,35,32.8,67.5,35.5,0,0
SEC-023,0.1,0.04,45,26.9,7.4,37.8,0,0
SEC-007,0.9,0.06,28,30.1,18.5,36.8,0,0
SEC-038,0.87,0.06,12,14.4,9.0,46.9,0,0
SEC-023,0.1,0.04,45,24.5,11.1,14.0,0,0
SEC-038,0.87,0.06,12,14.4,51.7,12.2,0,0
SEC-001,0.85,0.08,22,38.5,77.5,37.5,0,0
SEC-043,0.89,0.05,30,18.5,51.6,30.1,0,0
SEC-001,0.85,0.08,22,10.5,28.1,21.4,0,0
SEC-003,0.7,0.11,35,43.9,70.6,10.4,0,0
SEC-038,0.87,0.06,12,22.0,55.2,13.3,0,0
SEC-002,0.45,0.18,3,32.6,75.6,26.6,0,0
SEC-009,0.8,0.07,31,26.7,10.7,16.0,0,0
SEC-019,0.92,0.05,4,22.6,49.8,34.8,0,0
SEC-001,0.85,0.08,22,27.0,42.2,27.1,0,0
SEC-050,0.81,0.06,25,28.0,45.0,11.9,0,0
SEC-002,0.45,0.18,3,39.5,5.8,8.2,1,1
SEC-038,0.87,0.06,12,42.9,27.6,38.4,0,0
SEC-019,0.92,0.05,4,31.4,57.3,5.6,0,0
SEC-038,0.87,0.06,12,36.8,54.2,22.0,1,1
SEC-003,0.7,0.11,35,44.5,27.4,2.6,0,0
SEC-019,0.92,0.05,4,32.4,50.1,44.3,0,1
SEC-019,0.92,0.05,4,14.5,50.1,49.0,0,1
SEC-001,0.85,0.08,22,38.6,23.5,32.6,0,0
SEC-003,0.7,0.11,35,30.6,34.8,57.3,0,0
SEC-003,0.7,0.11,35,12.0,73.9,57.2,0,0
SEC-038,0.87,0.06,12,35.5,21.8,59.6,0,1
SEC-019,0.92,0.05,4,18.2,37.2,34.0,0,0
SEC-050,0.81,0.06,25,11.7,73.4,37.1,0,0
SEC-043,0.89,0.05,30,41.4,68.7,22.5,0,0
SEC-038,0.87,0.06,12,21.5,68.3,27.9,0,0
SEC-043,0.89,0.05,30,34.4,30.5,5.0,0,0
SEC-043,0.89,0.05,30,35.9,61.2,12.5,1,1
SEC-002,0.45,0.18,3,23.2,78.5,44.8,0,1
SEC-043,0.89,0.05,30,24.2,75.5,35.7,0,0
SEC-023,0.1,0.04,45,42.3,15.1,1.6,0,0
SEC-009,0.8,0.07,31,15.8,71.6,11.0,0,0
SEC-003,0.7,0.11,35,44.1,54.8,26.6,0,0
SEC-038,0.87,0.06,12,31.6,71.6,50.7,0,1
SEC-043,0.89,0.05,30,40.0,40.5,42.8,0,1
SEC-003,0.7,0.11,35,30.2,56.1,21.6,0,0
SEC-043,0.89,0.05,30,42.6,40.6,2.7,0,0
SEC-043,0.89,0.05,30,33.2,80.0,7.1,1,1
SEC-001,0.85,0.08,22,19.1,66.2,47.9,0,1
SEC-038,0.87,0.06,12,17.1,50.9,27.9,0,0
SEC-023,0.1,0.04,45,38.3,61.1,16.7,0,0
SEC-050,0.81,0.06,25,43.3,53.4,51.6,0,1
SEC-007,0.9,0.06,28,29.9,53.5,49.4,0,1
SEC-007,0.9,0.06,28,38.6,52.2,24.6,0,0
SEC-019,0.92,0.05,4,26.4,75.9,16.6,0,0
SEC-007,0.9,0.06,28,31.5,75.3,45.9,0,1
SEC-007,0.9,0.06,28,19.9,37.7,39.6,0,0
SEC-003,0.7,0.11,35,32.7,49.2,31.8,0,0
SEC-043,0.89,0.05,30,17.2,67.6,57.9,0,1
SEC-009,0.8,0.07,31,43.6,32.2,11.2,0,0
SEC-050,0.81,0.06,25,41.2,55.8,7.4,0,0
SEC-007,0.9,0.06,28,18.0,24.5,10.2,0,0
SEC-023,0.1,0.04,45,43.6,69.1,45.3,0,1
SEC-007,0.9,0.06,28,43.1,16.7,43.6,0,1
SEC-009,0.8,0.07,31,39.8,75.9,30.9,0,0
SEC-019,0.92,0.05,4,29.8,79.4,36.2,0,0
